Species,Family,Biol_realm,Growth_form,PFT,Life_history,Leaf_type,Phenology,Photosynthesis,Legume
Eclipta prostrata,asteraceae,Seed,H ,Fo ,A ,,,C3,N 
Elaeagnus umbellata,Elaeagnaceae,Seed,W ,S ,,,,C3,N 
Eleocharis palustris,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Elymus canadensis,Gramineae,Seed,H ,G ,P,,,C3,N
Elymus elymoides,Gramineae,Seed,H ,G ,P ,,,C3,N 
Elymus virginicus,Gramineae,Seed,H ,G ,P,,,C3,N
Empetrum hermaphroditum,Empetraceae,Seed,W ,S ,,,,C3,N 
Empetrum nigrum,Empetraceae,Seed,W ,S ,,,,C3,N 
Equisetum spp.,Equisetaceae,Seed,H ,Fo ,P ,,,C3,N 
Eragrostis curvula,Gramineae,Seed,H ,G ,P ,,,C4,N 
Eragrostis variabilis,Gramineae,Seed,H ,G ,P ,,,C4,N 
Erica cinerea,Ericaceae,Seed,W ,S ,,,,C3,N 
Erica multiflora,Ericaceae,Seed,W ,S ,,,,C3,N 
Erica tetralix,Ericaceae,Seed,W ,S ,,,,C3,N 
Erigeron speciosus,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Eriophorum angustifolium,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Eriophorum vaginatum,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Erodium cicutarium,Geraniaceae,Seed,H ,Fo ,A ,,,C3,N 
Erysimum strictum,Brassicaceae,Seed,H ,Fo ,P ,,,C3,N 
Eucalyptus acmenoides,Myrtaceae,Seed,W ,T ,,B ,E ,C3,N 
Eucalyptus grandis,Myrtaceae,Seed,W ,T ,,B ,E ,C3,N 
Eucalyptus nitens,Myrtaceae,Seed,W ,T ,,B ,E ,C3,N 
Eucalyptus regnans,Myrtaceae,Seed,W ,T ,,B ,E ,C3,N 
Eucalyptus saligna,Myrtaceae,Seed,W ,T ,,B ,E ,C3,N 
Eucalyptus siderophloia,Myrtaceae,Seed,W ,T ,,B ,E ,C3,N 
Eupatorium purpureum,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Euphorbia esula,Euphorbiaceae,Seed,H ,Fo ,P ,,,C3,N 
Fagopyrum esculentum,Polygonaceae,Seed,H ,Fo ,A ,,,C3,N 
Fagus grandifolia,Fagaceae,Seed,W ,T ,,B,D,C3,N
Fagus sylvatica,Fagaceae,Seed,W ,T ,,B ,D ,C3,N 
Fargesia qinlingensis,Gramineae,Seed,H ,G ,P ,,,C3,N 
Festuca arundinacea ,Gramineae,Seed,H ,G ,P ,,,C3,N 
Festuca ovina,Gramineae,Seed,H ,G ,P ,,,C3,N 
Festuca rubra,Gramineae,Seed,H ,G ,P ,,,C3,N 
Flaveria bidentis,asteraceae,Seed,H ,Fo ,A ,,,C4,N 
Fraxinus americana,Oleaceae,Seed,W ,T ,,B ,D ,C3,N 
Fraxinus mandshurica,Oleaceae,Seed,W ,T ,,B ,D ,C3,N 
Fraxinus ornus,Oleaceae,Seed,W ,T ,,B ,D ,C3,N 
Garcinia scortechinii,Clusiaceae,Seed,W ,T ,,B ,D ,C3,N 
Gastrolobium spinosum,Fabaceae,Seed,W ,S ,,,,C3,L 
Gliricidia sepium,Fabaceae,Seed,W ,T ,,B ,D ,C3,L 
Glyceria grandis,Gramineae,Seed,H ,G ,P ,,,C3,N 
Gompholobium knightianum,Fabaceae,Seed,W ,S ,,,,C3,L 
Griselinia littoralis,Cornaceae,Seed,W ,S ,,,,C3,N 
Hedypnois cretica,Asteraceae,Seed,H ,Fo ,A ,,,C3,N 
Hedysarum caucasicum,Fabaceae,Seed,H ,Fo ,P ,,,C3,L 
Helianthella quinquenervis,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Heliopsis beliantboides,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Hemizonia congesta,Asteraceae,Seed,H ,Fo ,A ,,,C3,L 
Hepatica nobilis,Ranunculaceae,Seed,H ,Fo ,P ,,,C3,N 
Herpestis monniera ,Portulacaceae,Seed,H ,Fo ,A ,,,C3,N 
Hesperis matronalis,Brassicaceae,Seed,H ,Fo ,P,,,Nd,N
Holcus lanatus,Gramineae,Seed,H ,G ,P ,,,C3,N 
Hordeum brachyantherum,Gramineae,Seed,H ,G ,P ,,,C3,N 
Hordeum jubatum ,Gramineae,Seed,H ,G ,P ,,,C3,N 
Hordeum vulgare,Gramineae,Seed,H ,G ,A ,,,C3,N 
Hovea chorizemifolia,Fabaceae,Seed,W ,S ,,,,C3,L 
Larix gmelinii var. japonica × L. kaempferi,Pinaceae,Seed,W ,T ,,C ,D ,C3,N 
Hylocomium splendens,Hylocomiaceae,Spore,O ,M ,,,,,
Hymenocarpos circinnatus,Fabaceae,Seed,H ,Fo ,A ,,,C3,L 
Hyparrhenia rufa,Gramineae,Seed,H ,G ,P ,,,C4,N 
Ilex paraguariensis ,Aquifoliaceae,Seed,W ,S ,,,,C3,N 
Impatiens parvifiora,Balsaminaceae,Seed,H ,Fo ,A ,,,C3,N 
Ipomoea cairica,Convolvulaceae,Seed,H ,Fo ,P ,,,C3,N 
